titel,authorLabel,date,langLabel,publisherLabel,genres,part_of_a_series
Red Shadows,Robert E. Howard,1968-01-01T00:00:00Z,English,"Donald M. Grant, Publisher",fantasy,Y
Colonel Markesan and Less Pleasant People,August Derleth,1966-01-01T00:00:00Z,English,Arkham House,"horror literature, fantasy",N
At the Center of the Storm: My Years at the CIA,George Tenet,2007-04-30T00:00:00Z,English,HarperCollins,memoir,N
Blue,Danielle Steel,2016-01-01T00:00:00Z,English,,romantic fiction,N
Forever Peace,Joe Haldeman,1997-10-01T00:00:00Z,English,Ace Books,science fiction,Y
The Nemesis of Evil,Lin Carter,1975-01-01T00:00:00Z,English,Doubleday,science fiction,N
Solo,Robert Mason,1992-01-01T00:00:00Z,English,G. P. Putnam's Sons,science fiction,N
The Conan Chronicles,Lin Carter,1989-01-01T00:00:00Z,English,Sphere Books,"fantasy, sword and sorcery",Y
The Third Gate,Lincoln Child,2012-06-12T00:00:00Z,English,Doubleday,thriller,N
The Science of Discworld III: Darwin's Watch,Terry Pratchett,2005-01-01T00:00:00Z,English,Random House,fantasy,Y
Oil 101,Morgan Downey,2009-01-01T00:00:00Z,English,,non-fiction,N
The Old Man,Thomas Perry,2017-01-03T00:00:00Z,English,,thriller,N
Macrolife,George Zebrowski,1979-05-01T00:00:00Z,English,Harper,science fiction,N
Shuggie Bain,Douglas Stuart,2020-02-11T00:00:00Z,English,Picador,Bildungsroman,N
Ombria in Shadow,Patricia A. McKillip,2002-01-08T00:00:00Z,English,Ace Books,fantasy,N
Brown Girl in the Ring,Nalo Hopkinson,1998-01-01T00:00:00Z,English,Hachette Book Group,"magic realist fiction, horror fiction, urban fantasy, science fiction",N
Death of a Blue Movie Star,Jeffery Deaver,1990-01-01T00:00:00Z,English,Hodder & Stoughton,crime fiction,Y
The Jucklins,Opie Read,1896-01-28T00:00:00Z,English,Laird & Lee,silent film,N
Frost,Donald Wandrei,2000-01-01T00:00:00Z,English,Fedogan & Bremer,detective fiction,N
Pictures from the Water Trade,John David Morley,1985-01-01T00:00:00Z,English,Grove Atlantic,"philosophical fiction, travel book",N
The Twelfth Imam,Joel C. Rosenberg,2010-10-19T00:00:00Z,English,Tyndale House,science fiction,N
Dragons of a Fallen Sun,Tracy Hickman,2000-04-01T00:00:00Z,English,Wizards of the Coast,fantasy,Y
Catalyst Code,David S. Evans,2007-05-09T00:00:00Z,English,Harvard Business Publishing,non-fiction,N
Heart of the Comet,David Brin,1986-01-01T00:00:00Z,English,,science fiction,N
The Public and its Problems,John Dewey,1927-01-01T00:00:00Z,English,Henry Holt and Company,non-fiction,N
Narcissists Among Us,Joe Navarro,2012-09-09T00:00:00Z,English,,non-fiction,N
The Affluent Society,John Kenneth Galbraith,1958-01-01T00:00:00Z,English,Houghton Mifflin Harcourt,non-fiction,N
The Survivor,James Herbert,1976-01-01T00:00:00Z,English,New English Library,horror fiction,N
Song of the Saurials,Kate Novak,1991-03-01T00:00:00Z,English,TSR,fantasy,N
Stardust,Robert B. Parker,1990-01-01T00:00:00Z,English,,crime fiction,N
Hooking Up,Tom Wolfe,2000-01-01T00:00:00Z,English,"Farrar, Straus and Giroux",New Journalism,N
The Curse of the Bronze Lamp,John Dickson Carr,1945-01-01T00:00:00Z,English,Heinemann,"crime fiction, detective fiction",Y
"I, Claudius",Robert Graves,1934-01-01T00:00:00Z,English,,"historical fiction, autobiography",N
The Solar Pons Omnibus,August Derleth,1982-01-01T00:00:00Z,English,Arkham House,detective fiction,N
Twice 22,Ray Bradbury,1966-01-01T00:00:00Z,English,Doubleday,soft science fiction,N
"A History of the Clan MacLean from Its First Settlement at Duard Castle, in the Isle of Mull, to the Present Period: Including a Genealogical Account of Some of the Principal Families Together with Their Heraldry, Legends, Superstitions, etc.",John Patterson MacLean,1889-01-01T00:00:00Z,English,,"historiography, genealogy",N
Manhattan Is My Beat,Jeffery Deaver,1988-01-01T00:00:00Z,English,Hodder & Stoughton,crime fiction,Y
The Saint in Trouble,Terence Feely,1978-01-01T00:00:00Z,English,The Crime Club,novella,Y
Past Caring,Robert Goddard,1986-01-01T00:00:00Z,English,,crime fiction,N
The Healthy Dead,Steven Erikson,2004-04-01T00:00:00Z,English,Night Shade Books,novella,Y
Watchers,Dean Koontz,1987-02-01T00:00:00Z,English,Berkley Books,"horror fiction, science fiction",N
Love's Body,Norman O. Brown,1966-01-01T00:00:00Z,English,Random House,philosophy,N
Glinda of Oz,L. Frank Baum,1920-01-01T00:00:00Z,English,Reilly & Britton,fantasy,Y
American Fantastic Tales,Anthony Boucher,2009-01-01T00:00:00Z,English,Library of America,fantasy,N
Changing of the Gods,Naomi Goldenberg,1979-01-01T00:00:00Z,English,Beacon Press,non-fiction,N
The Echo,Minette Walters,1997-02-21T00:00:00Z,English,Pan Books,"mystery fiction, crime fiction",N
The Infinity Concerto,Greg Bear,1984-01-01T00:00:00Z,English,,fantasy,N
Alphabet to E-mail,Naomi Baron,2000-01-01T00:00:00Z,English,,non-fiction,N
Lone Wolf,Robert Muchamore,2014-08-01T00:00:00Z,English,Hodder & Stoughton,espionage novel,Y
Lions in the Street,Paul Hoffman,1973-01-01T00:00:00Z,English,,non-fiction,N
Click Click Snap,Sean McGowan,2007-10-08T00:00:00Z,English,Sean McGowan,non-fiction,N
"""Dinosaurs: The Most Complete, Up-to-Date Encyclopedia for Dinosaur Lovers of All Ages""",Luis Rey,2007-01-01T00:00:00Z,English,Random House,reference work,N
This Passionate Land,Hal Bennett,1979-01-01T00:00:00Z,English,,romantic fiction,N
The Shadowmancer Returns: The Curse of Salamander Street,G. P. Taylor,2007-01-01T00:00:00Z,English,Faber and Faber Limited  Russell Square London,"children's novel, fantasy literature",N
Alms for Jihad,Millard Burr,2006-04-01T00:00:00Z,English,Cambridge University Press,current affairs,N
An Officer and a Spy,Robert Harris,2013-01-01T00:00:00Z,English,Hutchinson,thriller,N
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,2012-03-20T00:00:00Z,English,Crown Publishing Group,non-fiction,N
Pariah,Brian Vallée,1991-01-01T00:00:00Z,English,Random House of Canada,fiction,N
The Voyage of the Sable Keech,Neal Asher,2006-01-01T00:00:00Z,English,Tor Books,science fiction,N
"Descriptive excursions through South Wales and Monmouthshire, in the year 1804, and the four preceding summers",Edward Donovan,1805-01-01T00:00:00Z,English,Edward Donovan,travel literature,N
The Crossing of Ingo,Helen Dunmore,2008-05-05T00:00:00Z,English,HarperCollins,"children's novel, fantasy literature",N
The Cobra King of Kathmandu,Philip Kerr,2006-01-01T00:00:00Z,English,,fantasy literature,Y
Half Bad,Sally Green,2014-03-04T00:00:00Z,English,Puffin Books,fantasy literature,N
"The Fourth ""R""",George O. Smith,1959-01-01T00:00:00Z,English,Ballantine Books,science fiction,N
Computer Graphics: Principles and Practice,John F. Hughes,1995-01-01T00:00:00Z,English,Addison-Wesley,non-fiction,N
The Angel of the Crows,Sarah Monette,2020-06-01T00:00:00Z,English,,fantasy,N
The President's Daughter,James Patterson,2021-06-07T00:00:00Z,English,,"mystery fiction, crime fiction, thriller",N
Fire: From A Journal of Love,Anaïs Nin,1995-01-01T00:00:00Z,English,Harcourt,"Book, memoir",N
Sten Adventures Book 7: Vortex,Allan Cole,1992-01-01T00:00:00Z,English,Del Rey Books,science fiction,Y
In the Pocket: And Other SF Stories,Barry N. Malzberg,1971-01-01T00:00:00Z,English,Ace Books,science fiction,N
The Lazarus Heart,Poppy Z. Brite,1999-01-01T00:00:00Z,English,,"horror literature, fantasy, LGBT literature",Y
Catch Me When I Fall,Nicci French,2005-03-01T00:00:00Z,English,Michael Joseph,"mystery fiction, thriller",N
Young Sherlock Holmes: Red Leech,Andy Lane,2010-01-01T00:00:00Z,English,Macmillan Publishers,detective fiction,Y
The Consumer's Guide to Effective Environmental Choices,Union of Concerned Scientists,1999-01-01T00:00:00Z,English,Three Rivers Press,environmentalism,N
Beautiful Things,Hunter Biden,2021-04-06T00:00:00Z,English,,memoir,N
Rod Serling's Devils and Demons,Rod Serling,1967-01-01T00:00:00Z,English,Bantam Books,"horror literature, fantasy",N
The Future of Us,Jay Asher,2011-11-21T00:00:00Z,English,Penguin Books,contemporary history,N
Unmarked Graves,Shaun Hutson,2007-08-02T00:00:00Z,English,Orbit Books,horror fiction,N
Inheritance,Christopher Paolini,2011-11-08T00:00:00Z,English,Alfred A. Knopf,fantasy novel,Y
Chase,Dean Koontz,1972-01-01T00:00:00Z,English,Random House,"psychological thriller, thriller",N
The Murders in the Rue Morgue,Edgar Allan Poe,1841-01-01T00:00:00Z,English,Graham's Magazine,"detective literature, crime fiction, locked room mystery",N
The Adventure of the Bruce-Partington Plans,Arthur Conan Doyle,1911-01-01T00:00:00Z,English,,"crime fiction, detective fiction",Y
Dancing with Mermaids,Miles Gibson,1985-01-01T00:00:00Z,English,,erotica,N
In the Days When the World was Wide and Other Verses,Henry Lawson,1896-01-01T00:00:00Z,English,Angus & Robertson,bush ballad,N
Zambia Shall Be Free,Kenneth Kaunda,1962-01-01T00:00:00Z,English,,political literature,Y
"The Life of Josiah Henson, Formerly a Slave, Now an Inhabitant of Canada, as Narrated by Himself",Josiah Henson,1849-01-01T00:00:00Z,English,,"slave narrative, autobiography",N
Duty and Desire,Pamela Aidan,2004-01-01T00:00:00Z,English,Simon & Schuster,"romantic fiction, historical fiction",Y
The New American Story,Bill Bradley,2007-03-27T00:00:00Z,English,,non-fiction,N
The Witch of Blackbird Pond,Elizabeth George Speare,1958-12-01T00:00:00Z,English,Houghton Mifflin Harcourt,historical fiction,N
Passion: An Essay on Personality,Roberto Mangabeira Unger,1984-01-01T00:00:00Z,English,Free Press,philosophy,N
Mr. Monk and the Two Assistants,Lee Goldberg,2008-01-02T00:00:00Z,English,New American Library,mystery fiction,Y
Postmodernity and its Discontents,Zygmunt Bauman,1997-02-01T00:00:00Z,English,Polity,non-fiction,N
Chickenfeed,Minette Walters,2006-03-03T00:00:00Z,English,Pan Books,"mystery fiction, crime fiction, novella",N
The Tempest,William Shakespeare,1623-01-01T00:00:00Z,English,Edward Blount,tragicomedy,N
The Fires of Heaven,Robert Jordan,1993-10-15T00:00:00Z,English,Tor Books,fantasy,Y
100 Great Welsh Women,Terry Breverton,2001-11-02T00:00:00Z,English,,biography,N
The Vision,Dean Koontz,1977-01-01T00:00:00Z,English,Berkley Books,"horror fiction, mystery fiction",N
Contact,Carl Sagan,1985-01-01T00:00:00Z,English,,science fiction,N
Something Upstairs,Avi,1988-01-01T00:00:00Z,English,Orchard Books,horror fiction,N
The Kestrel,Lloyd Alexander,1982-04-01T00:00:00Z,English,Dutton,fantasy literature,N
Feeling Sorry for Celia,Jaclyn Moriarty,2000-01-01T00:00:00Z,English,Macmillan Publishers,epistolary novel,N
Death of an Expert Witness,P. D. James,1977-01-01T00:00:00Z,English,Faber and Faber Limited  Russell Square London,"crime fiction, mystery fiction",Y
Ten Creeks Run,Miles Franklin,1930-01-01T00:00:00Z,English,Blackwood & Sons,fiction,N
Ships of Merior,Janny Wurts,1994-01-01T00:00:00Z,English,HarperCollins,high fantasy,Y
The Gray Prince,Jack Vance,1975-12-01T00:00:00Z,English,,science fiction,N
The Bite in the Apple,Chrisann Brennan,2013-10-29T00:00:00Z,English,St. Martin's Press,memoir,N
The Son of Sobek,Rick Riordan,2013-01-01T00:00:00Z,English,Puffin Books,fantasy,N
The Chinese Language: Fact and Fantasy,John DeFrancis,1984-01-01T00:00:00Z,English,University of Hawaii Press,non-fiction,N
Beneath the Neon,Matthew O'Brien,2007-06-15T00:00:00Z,English,,non-fiction,N
Fire and Hemlock,Diana Wynne Jones,1984-01-01T00:00:00Z,English,HarperCollins,fantasy,N
When God Writes Your Love Story,Eric Ludy,1999-01-01T00:00:00Z,English,,Christian devotional literature,N
Three Worlds to Conquer,Poul Anderson,1964-01-01T00:00:00Z,English,,science fiction,N
Eve & Adam,Katherine Applegate,2012-10-02T00:00:00Z,English,Macmillan Publishers,science fiction,N
Sharpe's Devil,Bernard Cornwell,1990-01-01T00:00:00Z,English,HarperCollins,historical fiction,Y
Fighting Fascism in Europe. The World War II Letters of an American Veteran of the Spanish Civil War,Judy Barrett Litoff,2003-03-01T00:00:00Z,English,Fordham University Press,"historical non-fiction, non-fiction, bibliography",N
Children of Dune,Frank Herbert,1976-01-01T00:00:00Z,English,G. P. Putnam's Sons,science fiction,Y
The rough guide to jazz,Digby Fairweather,2004-01-01T00:00:00Z,English,Rough Guides,dictionary,N
Crucible,Troy Denning,2013-07-09T00:00:00Z,English,Del Rey Books,science fiction,Y
Peril,Robert Costa,2021-09-21T00:00:00Z,English,,literary non-fiction,N
Paul McCartney: Many Years from Now,Barry Miles,1997-01-01T00:00:00Z,English,Vintage Books,biography,N
The Fat Tail: The Power of Political Knowledge for Strategic Investing,Ian Bremmer,2009-03-06T00:00:00Z,English,Oxford University Press,non-fiction,N
The Dark World,Henry Kuttner,1965-01-01T00:00:00Z,English,Ace Books,"fantasy, science fiction",N
Crashed,Adam Tooze,2018-01-01T00:00:00Z,English,,non-fiction,N
Janissaries II: Clan and Crown,Jerry Pournelle,1982-01-01T00:00:00Z,English,Ace Books,science fiction,Y
Twilight,Meg Cabot,2004-12-01T00:00:00Z,English,Avon,romantic fiction,Y
The Enchanted Island of Yew,L. Frank Baum,1903-01-01T00:00:00Z,English,Bobbs-Merrill Company,fantasy,N
The Revenge of the Shadow King,Derek Benz,2006-03-01T00:00:00Z,English,Scholastic Corporation,"science fiction, adventure fiction, action fiction",Y
The Lab,Jack Heath,2008-11-01T00:00:00Z,English,Scholastic Corporation,"espionage novel, science fiction",N
The Death of Santini,Pat Conroy,2013-01-01T00:00:00Z,English,Random House,autobiography,N
The Red Napoleon,Floyd Gibbons,1929-01-01T00:00:00Z,English,,"invasion literature, alternate history",N
The Education of Lev Navrozov,Lev Navrozov,1975-01-01T00:00:00Z,English,Harper,memoir,N
Against Religion: The Atheist Writings of H.P. Lovecraft,Christopher Hitchens,2010-04-21T00:00:00Z,English,,essay,N
Small Steps: The Year I Got Polio,Peg Kehret,1996-01-01T00:00:00Z,English,,memoir,N
Surgery in the Pennsylvania hospital,William Hunt,1880-01-01T00:00:00Z,English,J. B. Lippincott & Co.,non-fiction,N
"Thinking, Fast and Slow",Daniel Kahneman,2011-10-25T00:00:00Z,English,"Farrar, Straus and Giroux",non-fiction,N
"Space, Inc.",Robert J. Sawyer,2003-01-01T00:00:00Z,English,DAW Books,science fiction,N
The Jennifer Morgue,Charles Stross,2006-01-01T00:00:00Z,English,,"science fiction, espionage novel",Y
Little Green Men,Christopher Buckley,1999-01-01T00:00:00Z,English,Random House,satire,N
One L,Scott Turow,1977-01-01T00:00:00Z,English,"Farrar, Straus and Giroux",autobiography,N
Dimiter,William Peter Blatty,2010-03-16T00:00:00Z,English,Tor Books,"horror fiction, thriller, suspense",N
Changeling,Roger Zelazny,1980-06-01T00:00:00Z,English,Ace Books,fantasy,Y
End Games,Michael Dibdin,2007-07-05T00:00:00Z,English,Faber and Faber Limited  Russell Square London,"crime fiction, mystery fiction",Y
Shorefall,Robert Jackson Bennett,2020-04-21T00:00:00Z,English,,fantasy novel,N
Mansfield Park,Jane Austen,1814-05-01T00:00:00Z,English,Thomas Egerton,romantic fiction,N
Sisterhood is Powerful,Kate Millett,1970-01-01T00:00:00Z,English,Random House,anthology,N
The Brontë Family: With Special Reference to Patrick Branwell Brontë,F. A. Leyland,1886-01-01T00:00:00Z,English,,biography,N
The Whitby Witches,Robin Jarvis,1991-01-01T00:00:00Z,English,Headline Publishing Group,fantasy literature,Y
Storm Warning,Jack Higgins,1976-08-09T00:00:00Z,English,Holt McDougal,nautical fiction,N
Inside Job,Connie Willis,2005-08-01T00:00:00Z,English,,novella,N
The Refugees,Arthur Conan Doyle,1893-01-01T00:00:00Z,English,,historical fiction,N
Lost Worlds,Clark Ashton Smith,1944-01-01T00:00:00Z,English,Arkham House,"horror literature, fantasy, science fiction",N
الأستاذ الدائم,John Kenneth Galbraith,1990-11-12T00:00:00Z,English,Houghton Mifflin Harcourt,Q16125088,N
Unfettered,Naomi Novik,2013-06-21T00:00:00Z,English,Orbit Books,fantasy,N
Enquiry Concerning Political Justice and its Influence on Morals and Happiness,William Godwin,1793-01-01T00:00:00Z,English,,essay,N
Property of a Noblewoman,Danielle Steel,2016-01-01T00:00:00Z,English,,romantic fiction,N
Beastslayer,William King,2001-02-01T00:00:00Z,English,Black Library,fantasy,Y
The Adventures of Mao on the Long March,Frederic Tuten,1971-01-01T00:00:00Z,English,Kensington Books,historical fiction,N
Let It Snow,Lauren Myracle,2008-10-02T00:00:00Z,English,,romantic fiction,N
The Coming Race,Edward Bulwer-Lytton,1871-01-01T00:00:00Z,English,,"utopian fiction, speculative fiction, lost world fiction, social science fiction, dystopia, fantasy",N
Thriller,James Patterson,2006-01-01T00:00:00Z,English,Mira Books,thriller,N
The Saint and the People Importers,Donald James,1971-01-01T00:00:00Z,English,Hodder & Stoughton,mystery fiction,Y
Night of Power (novel),Spider Robinson,1985-01-01T00:00:00Z,English,Baen Books,science fiction,N
The Last Unicorn: The Lost Version,Peter S. Beagle,2006-01-01T00:00:00Z,English,Subterranean Press,fantasy,N
Tempted Champions,Yvonne Navarro,2002-03-01T00:00:00Z,English,Pocket Books,horror fiction,Y
The Wedding,Danielle Steel,2000-01-01T00:00:00Z,English,Random House,romantic fiction,N
The Chapo Guide to Revolution,Virgil Texas,2018-08-21T00:00:00Z,English,Simon & Schuster,political satire,N
Free Live Free,Gene Wolfe,1984-01-01T00:00:00Z,English,Mark V. Ziesing,science fiction,N
Loose Tails,Berkeley Breathed,1983-01-01T00:00:00Z,English,"Little, Brown and Company",comedy,N
Mastiff,Tamora Pierce,2011-10-25T00:00:00Z,English,Random House,fantasy,Y
Tree,F. Sionil José,1978-01-01T00:00:00Z,English,,historical fiction,N
Historic houses of South Africa,Dorothea Fairbridge,1922-01-01T00:00:00Z,English,Oxford University Press,non-fiction,N
Spying on Democracy,Heidi Boghosian,2013-01-01T00:00:00Z,English,,non-fiction,N
The rough guide to jazz,Brian Priestley,2004-01-01T00:00:00Z,English,Rough Guides,dictionary,N
Demon Seed,Dean Koontz,1973-01-01T00:00:00Z,English,Berkley Books,"horror fiction, techno-thriller, science fiction",N
Flyaway,Desmond Bagley,1978-01-01T00:00:00Z,English,"William Collins, Sons",thriller,N
Waylander II: In the Realm of the Wolf,David Gemmell,1992-01-01T00:00:00Z,English,Random House,"high fantasy, fantasy",Y
The Bible Unearthed,Israel Finkelstein,2001-01-01T00:00:00Z,English,Free Press,historiography,N
The Clue in the Diary,Carolyn Keene,1932-01-01T00:00:00Z,English,Grosset & Dunlap,children's novel,Y
Fatal Vision,Joe McGinniss,1983-08-01T00:00:00Z,English,New American Library,true crime,N
Sten Adventures Book 8: Empire's End,Chris Bunch,1993-01-01T00:00:00Z,English,Orbit Books,science fiction,Y
The Times Atlas of World History,Richard Overy,2015-10-01T00:00:00Z,English,Collins Bartholomew,"historiography, atlas",N
The Clocks,Agatha Christie,1964-01-01T00:00:00Z,English,Collins Crime Club,"crime fiction, detective fiction",N
World of Warcraft: Arthas: Rise of the Lich King,Christie Golden,2009-04-21T00:00:00Z,English,Pocket Books,"fantasy novel, novelization",Y
Meg: Hell's Aquarium,Steve Alten,2009-01-01T00:00:00Z,English,Tor Books,science fiction,Y
The Light Beyond the Forest,Rosemary Sutcliff,1979-01-01T00:00:00Z,English,,historical fiction,N
City of the Dead,Brian Keene,2005-01-01T00:00:00Z,English,Delirium Books,horror fiction,N
The Glass Key,Dashiell Hammett,1931-01-01T00:00:00Z,English,Alfred A. Knopf,"noir fiction, crime fiction",N
The Whole Shebang: A State-of-the-universe(s) Report,Timothy Ferris,1997-01-01T00:00:00Z,English,Simon & Schuster,"cosmology, science",N
Breakout Nations: In Pursuit of the Next Economic Miracles,Ruchir Sharma,2012-04-01T00:00:00Z,English,W. W. Norton & Company,non-fiction,N
The Hand of Nergal,Lin Carter,1967-01-01T00:00:00Z,English,,sword and sorcery,N
"The Authentic Life of Billy, the Kid, The Noted Desperado of the Southwest",Pat Garrett,1882-01-01T00:00:00Z,English,,biography,N
The Adventure of the Second Stain,Arthur Conan Doyle,1904-01-01T00:00:00Z,English,,"detective fiction, crime fiction",Y
Three Singles to Adventure,Gerald Durrell,1954-01-01T00:00:00Z,English,,"naturalist, autobiography",N
The Nature of the Judicial Process,Benjamin N. Cardozo,1921-01-01T00:00:00Z,English,Yale University Press,non-fiction,N
Putting on the Ritz,Joe Keenan,1991-01-01T00:00:00Z,English,Viking Press,LGBT literature,N
The Pig Who Saved the World,Paul Shipton,2006-07-06T00:00:00Z,English,,comedy,N
Your Heiress Diary: Confess It All to Me,Paris Hilton,2005-11-11T00:00:00Z,English,,autobiography,N
Where the Streets Had a Name,Randa Abdel-Fattah,2008-01-01T00:00:00Z,English,Macmillan Publishers,children's novel,N
Carmilla,Sheridan Le Fanu,1872-01-01T00:00:00Z,English,,"gothic fiction, speculative fiction, lesbian literature, vampire literature, novella",N
How to Design Programs,Shriram Krishnamurthi,2001-02-12T00:00:00Z,English,The MIT Press,textbook,N
Show of Evil,William Diehl,1995-01-01T00:00:00Z,English,Villard,thriller,N
Behind the Beautiful Forevers,Katherine Boo,2012-02-07T00:00:00Z,English,,non-fiction,N
Exit Wounds,Rutu Modan,2008-01-01T00:00:00Z,English,Am Oved,comics,N
Wizard's Holiday,Diane Duane,2003-01-01T00:00:00Z,English,Harcourt,fantasy,Y
iWoz,Steve Wozniak,2006-10-03T00:00:00Z,English,W. W. Norton & Company,autobiography,N
"Will You Please Be Quiet, Please?: Stories",Raymond Carver,1976-01-01T00:00:00Z,English,McGraw Hill Book Company,anthology,N
Fox Evil,Minette Walters,2002-11-08T00:00:00Z,English,Pan Books,"mystery fiction, crime fiction",N
The Science Fictional Solar System,Larry Niven,1979-01-01T00:00:00Z,English,Harper,science fiction,N
Poems,Anne Bannerman,1800-01-01T00:00:00Z,English,,poetry,N
The Hollow Man,John Dickson Carr,1935-01-01T00:00:00Z,English,Harper,"detective fiction, crime fiction, mystery fiction",Y
The Saint Around the World,Leslie Charteris,1956-01-01T00:00:00Z,English,The Crime Club,mystery fiction,Y
Harrow the Ninth,Tamsyn Muir,2020-01-01T00:00:00Z,English,,fantasy novel,Y
The Wonder City of Oz,John R. Neill,1940-01-01T00:00:00Z,English,Reilly & Britton,fantasy,Y
Gandhi,George Woodcock,1972-01-01T00:00:00Z,English,,biography,N
We Should All Be Feminists,Chimamanda Ngozi Adichie,2015-09-03T00:00:00Z,English,,essay,N
Mr. Potter,Jamaica Kincaid,2002-01-01T00:00:00Z,English,"Farrar, Straus and Giroux","novella, memoir",N
The Shore Road Mystery,Franklin W. Dixon,1928-09-01T00:00:00Z,English,Grosset & Dunlap,children's novel,Y
Revenant,Mel Odom,2001-01-01T00:00:00Z,English,Pocket Books,horror fiction,Y
The Bondwoman's Narrative,Hannah Crafts,2002-01-01T00:00:00Z,English,Hachette Book Group,historical fiction,N
The Science of Discworld III: Darwin's Watch,Ian Stewart,2005-01-01T00:00:00Z,English,Random House,fantasy,Y
Dune: The Butlerian Jihad,Brian Herbert,2002-01-01T00:00:00Z,English,Tor Books,science fiction,Y
Sayonara,James A. Michener,1953-01-01T00:00:00Z,English,Random House,romantic fiction,N
Obama: From Promise to Power,David Mendell,2007-08-14T00:00:00Z,English,HarperCollins,"biography, politics",N
Song of the Trees,Mildred D. Taylor,1975-01-01T00:00:00Z,English,,"historical fiction, novella",N
Adventures in Two Worlds,A. J. Cronin,1952-01-01T00:00:00Z,English,Victor Gollancz Ltd,autobiography,N
A Dreamer's Tales,"Edward Plunkett, 18th Baron of Dunsany",1910-01-01T00:00:00Z,English,George Russell & Unwin,fantasy,N
Psmith in the City,P. G. Wodehouse,1910-09-23T00:00:00Z,English,A & C Black,comedy,N
Destiny's Road,Larry Niven,1998-05-15T00:00:00Z,English,,science fiction,N
"The complete English traveller; or, A new survey and description of England and Wales. Containing a full account of whatever is curious and entertaining in the several counties of England and Wales, the isles of Man, Jersey, Guernsey, and other islands adjoining to, and dependant on the crown of Great Britain ... To which is added, a concise and accurate description of ... Scotland ...",Robert Sanders,1773-01-01T00:00:00Z,English,John Cooke,travel literature,N
Mr. Monk Gets Even,Lee Goldberg,2012-12-31T00:00:00Z,English,New American Library,mystery fiction,Y
Mutants in Avalon,Kevin Siembieda,1991-01-01T00:00:00Z,English,Palladium Books,"tabletop role-playing game, post-apocalyptic fiction, science fiction",Y
The Door in the Wall,Marguerite de Angeli,1949-01-01T00:00:00Z,English,Doubleday,historical fiction,N
Check the Technique: Liner Notes for Hip-Hop Junkies,Brian Coleman,2007-01-01T00:00:00Z,English,Random House,non-fiction,N
The Rebels,John Jakes,1975-01-01T00:00:00Z,English,,"historical fiction, family saga",Y
Breathers: A Zombie's Lament,S. G. Browne,2009-03-01T00:00:00Z,English,Broadway Books,"horror fiction, satire, humour",N
Skylark Three,Edward Elmer Smith,1948-01-01T00:00:00Z,English,Fantasy Press,science fiction,Y
Spiderweb for Two: A Melendy Maze,Elizabeth Enright,1951-01-01T00:00:00Z,English,Rinehart & Company,children's novel,N
The Mask of the Red Death,Edgar Allan Poe,1843-01-01T00:00:00Z,English,,"Gothic literature, horror fiction",N
Ride the Pink Horse,Dorothy B. Hughes,1946-01-01T00:00:00Z,English,,crime fiction,N
1633,David Weber,2002-08-01T00:00:00Z,English,Baen Books,"science fiction, alternate history",Y
The Gashlycrumb Tinies,Edward Gorey,1963-01-01T00:00:00Z,English,,alphabet book,N
Ebola '76,Amir Taj al-Sir,2015-01-01T00:00:00Z,English,DARF Publishers,fiction,N
Dune: The Butlerian Jihad,Kevin J. Anderson,2002-01-01T00:00:00Z,English,Tor Books,science fiction,Y
Carson of Venus,Edgar Rice Burroughs,1939-01-01T00:00:00Z,English,"Edgar Rice Burroughs, Inc.","fantasy, science fiction",Y
The Catcher in the Rye,J. D. Salinger,1951-07-16T00:00:00Z,English,"Little, Brown and Company","realist novel, Bildungsroman",N
Double Star,Robert A. Heinlein,1956-01-01T00:00:00Z,English,Doubleday,science fiction,N
Antifragile,Nassim Nicholas Taleb,2012-11-27T00:00:00Z,English,Random House,non-fiction,Y
Tempus,Janet Morris,1987-01-01T00:00:00Z,English,,fantasy,Y
Tigerlily's Orchids,Ruth Rendell,2010-08-15T00:00:00Z,English,Hutchinson,"mystery fiction, crime fiction",N
Agent to the Stars,John Scalzi,2005-01-01T00:00:00Z,English,,science fiction,N
Bush's Brain: How Karl Rove Made George W. Bush Presidential,James Moore,2003-01-01T00:00:00Z,English,Wiley,documentary film,N
Echoes of Valor,Karl Edward Wagner,1987-01-01T00:00:00Z,English,Tor Books,fantasy,N
"""Bring Me a Light!""",Jane Margaret Hooper,1861-01-19T00:00:00Z,English,,ghost story,N
Actual air,David Berman,1999-01-01T00:00:00Z,English,Open City,poetry,N
The Apocalypse Troll,David Weber,1999-01-01T00:00:00Z,English,Baen Books,science fiction,N
The End of All Things,John Scalzi,2015-01-01T00:00:00Z,English,Tor Books,science fiction,Y
Fighting Terrorism,Benjamin Netanyahu,2004-01-01T00:00:00Z,English,Miskal Publishing and Distribution,non-fiction,N
Three Hundred Years Hence,Mary Griffith,1836-01-01T00:00:00Z,English,Prime Press,"futuristic fiction, utopian fiction, science fiction",N
The Birthday Present,Ruth Rendell,2008-01-01T00:00:00Z,English,Viking Press,"mystery fiction, crime fiction",N
The Golden Transcendence,John C. Wright,2003-01-01T00:00:00Z,English,,science fiction,Y
Adventures of Wim,Luke Rhinehart,2002-11-27T00:00:00Z,English,AuthorHouse,comedy,N
This Above All,Eric Knight,1941-01-01T00:00:00Z,English,Cassel,military fiction,N
