titel,authorLabel,date,langLabel,publisherLabel,genres,part_of_a_series
The Redneck Way of Knowledge,Blanche McCrary Boyd,1982-01-01T00:00:00Z,English,Alfred A. Knopf,memoir,N
The 8th Habit,Stephen Covey,2004-01-01T00:00:00Z,English,,non-fiction,N
The Golden Wind,L. Sprague de Camp,1969-01-01T00:00:00Z,English,Doubleday,historical fiction,N
The Spirit of St. Louis,Charles Lindbergh,1953-09-14T00:00:00Z,English,Charles Scribner's Sons,autobiography,N
Curse of the Mummy,Jonathan Green,1995-10-26T00:00:00Z,English,Puffin Books,fantasy,Y
Meltdown,Thomas Woods,2009-02-09T00:00:00Z,English,Regnery Publishing,non-fiction,N
The Long Cosmos,Stephen Baxter,2016-06-30T00:00:00Z,English,Penguin Random House,science fiction,Y
Richard Stark's Parker: The Hunter,Darwyn Cooke,2009-01-01T00:00:00Z,English,IDW Publishing,"noir fiction, mystery fiction",N
The Red House Mystery,A. A. Milne,1922-04-06T00:00:00Z,English,Methuen Publishing,mystery fiction,N
Marx/Engels Collected Works,Karl Marx,1975-01-01T00:00:00Z,English,,essay,N
Brewster's Millions,George Barr McCutcheon,1902-01-01T00:00:00Z,English,Grosset & Dunlap,comedy,N
The Sign,Raymond Khoury,2009-01-01T00:00:00Z,English,,mystery fiction,N
The FairTax Book,Neal Boortz,2005-01-01T00:00:00Z,English,ReganBooks,non-fiction,N
A Far Sunset,Edmund Cooper,1967-01-01T00:00:00Z,English,Hodder & Stoughton,science fiction,N
Empire Star,Samuel R. Delany,1966-01-01T00:00:00Z,English,Ace Books,"novella, science fiction",N
Mists of Everness,John C. Wright,2005-01-01T00:00:00Z,English,Tor Books,fantasy novel,N
The Languages of Africa,Joseph Greenberg,1963-01-01T00:00:00Z,English,,non-fiction,N
The Crucible of Time,John Brunner,1983-09-01T00:00:00Z,English,,"fix-up, science fiction",N
The Titans,John Jakes,1976-01-01T00:00:00Z,English,,"family saga, historical fiction",Y
Where Dead Voices Gather,Nick Tosches,2001-08-21T00:00:00Z,English,"Little, Brown and Company",biography,N
The Real Story,Stephen R. Donaldson,1991-01-01T00:00:00Z,English,Bantam Books,science fiction,Y
Anne Frank and Me,Jeff Gottesfeld,2001-01-01T00:00:00Z,English,Scholastic Corporation,historical fiction,N
Tintin: The Complete Companion,Michael Farr,2001-01-01T00:00:00Z,English,John Murray,"fiction, comics",N
The Second Book of Fritz Leiber,Fritz Leiber,1975-01-01T00:00:00Z,English,DAW Books,"horror literature, fantasy, essay, science fiction",N
Stay Out of the Basement,R. L. Stine,1992-01-01T00:00:00Z,English,Scholastic Corporation,"horror fiction, thriller",Y
A Mighty Fortress,David Weber,2010-04-13T00:00:00Z,English,Tor Books,science fiction,N
The Devil in Iron,Robert E. Howard,1934-08-01T00:00:00Z,English,,sword and sorcery,N
Universe 1,Terry Carr,1971-01-01T00:00:00Z,English,Ace Books,science fiction,Y
Cause Celeb,Helen Fielding,1994-01-01T00:00:00Z,English,,"chick lit, comedy",N
The Rape of the A*P*E*,Allan Sherman,1973-01-01T00:00:00Z,English,G. P. Putnam's Sons,non-fiction,N
The Businessman: A Tale of Terror,Thomas M. Disch,1984-01-01T00:00:00Z,English,Harper,"horror literature, fantasy",N
Hyenas: a Hap and Leonard Novella,Joe R. Lansdale,2011-01-01T00:00:00Z,English,Subterranean Press,"crime fiction, novella",N
None But Lucifer,L. Sprague de Camp,2002-01-01T00:00:00Z,English,,fantasy,N
The Thirty-First of February,Nelson S. Bond,1949-01-01T00:00:00Z,English,Gnome Press,fantasy,N
Requiem,Robert A. Heinlein,1940-01-01T00:00:00Z,English,,"short story, science fiction",N
Taronga,Victor Kelleher,1986-01-01T00:00:00Z,English,Viking Press,"young adult novel, post-apocalyptic fiction",N
The Missing Man,Katherine MacLean,1971-03-01T00:00:00Z,English,,novella,N
The Princess and the Unicorn,Carol Hughes,2009-01-01T00:00:00Z,English,,fantasy,N
The Little Bookroom,Eleanor Farjeon,1955-01-01T00:00:00Z,English,Oxford University Press,fairy tale,N
The Rescuers,Margery Sharp,1959-01-01T00:00:00Z,English,"Little, Brown and Company",fantasy,Y
"A History of New York, from the Beginning of the World to the End of the Dutch Dynasty",Washington Irving,1809-01-01T00:00:00Z,English,,satire,N
Last Words: The Final Journals of William S. Burroughs,William S. Burroughs,2000-01-01T00:00:00Z,English,Grove Press,autobiography,N
The Soft Whisper of the Dead,Charles L. Grant,1982-01-01T00:00:00Z,English,"Donald M. Grant, Publisher",vampire literature,N
"Atlas of the city and island of Montreal, including the counties of Jacques Cartier and Hochelaga : from actual surveys, based upon the cadastral plans deposited in the office of the Department of Crown Lands",H. W. Hopkins,1879-01-01T00:00:00Z,English,,reference work,N
World on Fire,Amy Chua,2003-01-01T00:00:00Z,English,Doubleday,non-fiction,N
The Fear,Charlie Higson,2011-09-15T00:00:00Z,English,,horror fiction,N
Cycle of the Werewolf,Stephen King,1983-11-01T00:00:00Z,English,,horror fiction,N
Shine,Lauren Myracle,2011-05-01T00:00:00Z,English,,LGBT literature,N
Plantae Asiaticae Rariores,Nathaniel Wolff Wallich,1830-01-01T00:00:00Z,English,,science,N
Mr. Tucket,Gary Paulsen,1969-01-01T00:00:00Z,English,Funk & Wagnalls,Western novel,N
