"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch"
"LinearCombinationMatchingRule","bbe_19275","fdb_14532","0.0",
"LinearCombinationMatchingRule","bbe_21724","fdb_5374","0.0",
"LinearCombinationMatchingRule","bbe_49136","fdb_11190","0.0",
"LinearCombinationMatchingRule","bbe_41506","fdb_10264","0.15555555555555553",
"LinearCombinationMatchingRule","bbe_14729","fdb_16525","0.0",
"LinearCombinationMatchingRule","bbe_19755","fdb_3711","0.0",
"LinearCombinationMatchingRule","bbe_10205","fdb_11731","0.3",
"LinearCombinationMatchingRule","bbe_36903","fdb_11933","0.0",
"LinearCombinationMatchingRule","bbe_35494","fdb_4087","0.0",
"LinearCombinationMatchingRule","bbe_50707","fdb_163","0.0",
"LinearCombinationMatchingRule","bbe_10500","fdb_1763","0.19999999999999998",
"LinearCombinationMatchingRule","bbe_22632","fdb_12897","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_5070","fdb_5104","0.0",
"LinearCombinationMatchingRule","bbe_9819","fdb_3728","NaN",
"LinearCombinationMatchingRule","bbe_42707","fdb_9577","0.0",
"LinearCombinationMatchingRule","bbe_46521","fdb_11895","0.11666666666666665",
"LinearCombinationMatchingRule","bbe_5759","fdb_6966","NaN",
"LinearCombinationMatchingRule","bbe_39580","fdb_5261","0.15555555555555553",
"LinearCombinationMatchingRule","bbe_14587","fdb_7100","0.0",
"LinearCombinationMatchingRule","bbe_10756","fdb_6399","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_22878","fdb_704","0.0",
"LinearCombinationMatchingRule","bbe_21485","fdb_14301","0.0",
"LinearCombinationMatchingRule","bbe_7980","fdb_3530","0.0",
"LinearCombinationMatchingRule","bbe_746","fdb_796","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_40976","fdb_13445","0.0",
"LinearCombinationMatchingRule","bbe_32975","fdb_4933","0.0",
"LinearCombinationMatchingRule","bbe_51217","fdb_11731","0.3",
"LinearCombinationMatchingRule","bbe_14473","fdb_8468","0.0",
"LinearCombinationMatchingRule","bbe_34229","fdb_11585","0.7",
"LinearCombinationMatchingRule","bbe_27331","fdb_4427","0.0",
"LinearCombinationMatchingRule","bbe_23195","fdb_14853","0.11666666666666665",
"LinearCombinationMatchingRule","bbe_40976","fdb_12100","0.0",
"LinearCombinationMatchingRule","bbe_33337","fdb_4437","0.0",
"LinearCombinationMatchingRule","bbe_45408","fdb_3739","0.0",
"LinearCombinationMatchingRule","bbe_17736","fdb_13207","0.0",
"LinearCombinationMatchingRule","bbe_45286","fdb_10649","0.21",
"LinearCombinationMatchingRule","bbe_10338","fdb_9271","0.0",
"LinearCombinationMatchingRule","bbe_40624","fdb_7163","0.0",
"LinearCombinationMatchingRule","bbe_25896","fdb_15026","0.21",
"LinearCombinationMatchingRule","bbe_22346","fdb_16880","0.0",
"LinearCombinationMatchingRule","bbe_40236","fdb_1978","0.0",
"LinearCombinationMatchingRule","bbe_32793","fdb_4004","NaN",
"LinearCombinationMatchingRule","bbe_30019","fdb_16525","0.0",
"LinearCombinationMatchingRule","bbe_36630","fdb_10758","0.06999999999999999",
"LinearCombinationMatchingRule","bbe_5984","fdb_5857","0.0",
"LinearCombinationMatchingRule","bbe_4053","fdb_3036","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_17192","fdb_9358","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_39995","fdb_15402","0.0",
"LinearCombinationMatchingRule","bbe_13686","fdb_5006","0.0",
